id,action,background,department
646836,Public Inquiry into the Child Maintenance Service,"We are concerned that incorrect assessments and inflation of amounts owed by paying parents, combined with excessive use of enforcement action, has caused significant distress to many paying parents, leading in some cases to catastrophic consequences. We want a Public Inquiry to investigate this.",Department for Work and Pensions
632528,Allow children to receive DLA up to the age of 18 years old,"Current rules mean that children can only receive Disability Living Allowance (DLA) up to the age of 16, and then must apply for Personal Independence Payment (PIP). We believe children should be able to receive DLA until the age of 18.",Department for Work and Pensions
644195,"Make Universal Credit standard allowance the same for under and over 25
","We want the Government to increase the Universal Credit standard allowance for under 25s to equal that for people aged 25 and over. Many under 25s on Universal Credit struggle on the lower rate, which is £75 less than people aged 25 or over receive. This should be the same for all ages.
",Department for Work and Pensions
656038,Provide all pensioners born before April 1951 with the new State Pension,"We would like the Government to provide all pensioners born before 6 April 1951 with the new state pension. The full new State Pension is over £200 more a month than the full basic pension. We believe this is unfair, and unjustifiable.",Department for Work and Pensions
640062,Increase Carer's Allowance to 35 hours a week at the minimum wage,We want the Government to increase the amount of Carer's Allowance to match pay for a full-time job.,Department for Work and Pensions
642349,Do not allow non-resident parents with CMS arrears to move off enforced payments,"We want the Government to reform Child Maintenance Service (CMS) arrangements so that when a non-resident payment is paying off arrears through a deduction from earnings order, this remains in place until the arrears are cleared, and the parent not allowed to change payment method after six months.",Department for Work and Pensions
580951,Require employers with more than 250 employees to introduce a Menopause Policy,"According to the Government Report on Menopause, ‘menopausal women are the fastest growing workforce demographic’. The average age for a woman to go through menopause is 51. The average age of female suicide is between 45 & 49. 
Nearly 8 out of 10 of menopausal women are in work.",Department for Work and Pensions
655300,Prevent public bodies from conducting private prosecutions,Amend section 3(2) of the Prosecution of Offences Act 1985 (duties of the DPP) to include a duty to take over the conduct of any criminal proceedings instituted in England and Wales by any public body.,Department for Work and Pensions
632530,Only family members should be allowed to claim from the Children’s Funeral Fund,"Currently, funeral directors, burial and cremation providers can claim for fees directly from the Children’s Funeral Fund for England.",Department for Work and Pensions
651861,Cease plans to make changes to the Work Capability Assessment (WCA),"I believe plans to remove or change some descriptors used to assess whether certain disabilities reduce people’s ability to work, and to amend the “substantial risk” regulations, are profoundly unethical and unjustifiable.",Department for Work and Pensions
654162,Increase UK VAT threshold to match inflation - it has been £85k since 2017,"Give small businesses a chance to grow by raising the VAT threshold. Due to soaring costs, some businesses are forced to increase prices and are hitting the VAT threshold and fighting a battle to absorb yet another cost or increase prices again, lowering demand during the rising cost of living. ",Department for Work and Pensions
660755,Make it a criminal offence for lenders to retain money when fraud is proven,"Make it a specific criminal offence for lenders to retain money or assets when it has been proven that a loan was secured fraudulently, such as when someone has been convicted for securing a loan by using a fraudulent signature.",Department for Work and Pensions
635725,Stop CMS sharing paying parents financial details with receiving parents,"We want the Government to stop the Child Maintenance Service (CMS) from sharing financial information (pay, pension contributions) of paying parents with receiving parents. Receiving parents should be given the amount of maintenance they will receive, not the financial details of the paying parent.",Department for Work and Pensions
633588,End age discrimination in Universal Credit housing cost entitlements,"To make entitlements to housing costs equal for all ages, and not to be discriminated due to being under 35.",Department for Work and Pensions
656547,Require HSE to disregard time passed when deciding whether to investigate,I believe the Government should require that the Health and Safety Executive disregard the time passed when deciding whether or not to investigate a complaint about a health and safety issue. ,Department for Work and Pensions
651687,Cease migrations onto Universal Credit for those who are clinically vulnerable,"We are concerned that some vulnerable claimants are being caused to suffer significant distress, and are being profoundly overwhelmed by the migration process. We believe clinically vulnerable claimants should not be migrated to Universal Credit.",Department for Work and Pensions
588059,Provide bridging pension and compensation for WASPI women,It is time for the Government to do the right thing and provide women affected by 1995 and 2011 Pension Acts who have not yet reached the new state pension age with a non-means-tested bridging pension. ,Department for Work and Pensions
621652,Pay full £650 Cost Of Living Payment and £400 energy rebate to everyone directly,"The £650 Cost Of Living Payment should be given to everyone equally, no matter their circumstances. The £400 energy rebate should also be given to everyone directly so it can be used to cover other costs, not to the energy providers to then pass on to customers through a reduction in their bills.",Department for Work and Pensions
657912,Offer low- or no-interest Government loans to all UK taxpayers,"Create a Government loan scheme which offers all taxpayers access to low-interest or interest-free loans, repaid through a higher payment of tax over a period of so many months until the loan is repaid.",Department for Work and Pensions
638089,Allow all parents of dependent children to access Bereavement Support Payment,"To ensure all dependent children who have lost a parent can benefit from this support, by extending this payment to non-cohabiting parents of dependent children, even if they were not married or in a civil partnership with the deceased.",Department for Work and Pensions
633125,Do not treat student maintenance loans as an income for Universal Credit,"I want the Government to stop student maintenance loans being treated as income for Universal Credit. As a student nurse I am trying to better myself and follow my dreams, and it is not fair that student loans are treated as income for Universal Credit, when these most also be repaid.",Department for Work and Pensions
589466,Raise National Living Wage to at least £10,Raise the national living wage. Those who are 23 years and older need at least £10 or £11.,Department for Work and Pensions
316416,Raise child benefit by £10 a week to help families during the pandemic,We are calling for emergency support for children to ensure all parents can cover the basic costs of raising their children in the face of reduced income.,Department for Work and Pensions
569437,Increase the child benefit to £200 pounds monthly per child.,"Increase the amount of the money that are being paid to the children, a fair amount would be £200 each month. ",Department for Work and Pensions
615807,Change DLA to PIP age from 16 years old to 18 years old,"Current rules with DWP mean that children are reassessed and moved from DLA to PIP at 16 years old.  

At this age they are still legally children, in full time education or training and yet the government move them onto an adult benefit. 
EHCP’s and child benefit are extended past the age of 16.",Department for Work and Pensions
587818,Set a deadline for decisions on mandatory reconsideration of a benefits decision,People often wait for ages to get mandatory reconsideration decisions. There is no precise timescale within which a decision-maker has to make decisions on mandatory reconsideration of benefit decisions.,Department for Work and Pensions
623546,Fully outlaw practice of landlords/agents refusing to let to benefits claimants,Fully commit to stopping the practice of estate agents and landlords being able to refuse you on the basis of getting housing and other benefits.,Department for Work and Pensions
655346,Remove joint and several liability in tenancy agreements in proven cases of DV,"Prevent the victim being responsible for the debt of the perpetrator if they stop paying rent on a property, including when the victim is unable to return home safely but intends to return. Joint and several liability can allow the perpetrator to continue financial abuse.",Department for Work and Pensions
625471,Make PIP available for people with autoimmune diseases,"We ask the Government to make people with autoimmune diseases such as; psoriasis, inflammatory bowel disease and rheumatoid arthritis eligible to claim PIP (Personal Independent Payment).",Department for Work and Pensions
653828,Introduce fines for PIP assessment companies if decision is overturned on appeal,Many PIP assessment decisions are overturned either at mandatory reconsideration or at a tribunal. This is a wasteful use of Government resources and causes unnecessary stress for claimants. We want fines to be levied on companies conducting PIP assessments if a decision is overturned on appeal.,Department for Work and Pensions
329512,Fund pension supplement for WW2 veterans to cover all living costs ,"The Government should provide “Cradle to Grave” care for WW2 veterans, by ensuring that Income Tax and National Insurance contributions paid into the system through a working life, come back in the form of a decent State pension on reaching retirement age.  ",Department for Work and Pensions
613198,Fast-track access to benefits for terminally ill as soon as diagnosed,The current special rules for terminal illness say fast-track benefit applications are only available for those with a terminal diagnosis of 12 months. I feel this is penalising people with a terminal diagnosis  but who are not expected to die in the next twelve months.,Department for Work and Pensions
577472,"£20pw increase for Disabled and Pensioners, backdated to March 2020","During the Pandemic only those on Universal Credit got an increase of £20pw to help whilst people on other disability benefits or State Pension/Credit got nothing. I would like people on disability benefits or State Pension/Credit get £20pw, backdated to March 2020.",Department for Work and Pensions
581687,Scrap Universal Credit and reinstate all legacy benefits,"Universal Credit is not meeting the needs of many claimants, some of whom have lost income as a result of being moved to Universal Credit.",Department for Work and Pensions
636457,Lower the state pension age to 65,Let already hard-working society retire at 65 and be able to take their pension pot that they have worked hard and saved for. ,Department for Work and Pensions
315155,Maternity leave at full pay for 1 year for women that are 26 weeks into the job.,"The Government should pay full salaries for women that are 26 weeks into the job for a full year and the rest can apply for maternity allowance. 

Don’t leave it to the employers and put parents to choose between their children and their job. ",Department for Work and Pensions
615717,Equalise paternity leave and pay entitlements with maternity leave and pay,"Paternity leave and pay entitlements (currently 2 weeks) should be made equal to maternity leave (52 weeks leave, of which 39 are paid). This would bring the role of a father (or significant other) in a child's life more in line both financially and socially with the mother or main care provider.",Department for Work and Pensions
587723,Allow early access to a reduced state pension from the age of 60,"Provided a person has adequate qualifying NI contributions for a state pension, and has sufficient private pension/other income to show they will not need to rely on welfare, it should be possible to take a reduced state pension from the age of 60.",Department for Work and Pensions
637891,Prevent development on Green Belt land,Put measures in place that will prevent development on Green Belts. This land should be given additional legal protection so that no development can be approved on Green Belts.,Department for Work and Pensions
314525,Fund free childcare for key workers,"Free childcare is only available to everyone over 3 years, unless you meet certain criteria. Free childcare should be provided for key workers who have to work. ",Department for Work and Pensions
569123,Require negative Covid test results for entering workplaces ,Regular testing needs to be offered for those attending workplaces that are currently open for business to stop the virus spreading out of control. Staff should be required to show a negative test result before being able to enter the workplace.,Department for Work and Pensions
602744,Review and reform the Display Screen Equipment regulations,"The Government should review the Health and Safety (Display Screen Equipment) Regulations 1992 and consider reforms to explicitly reflect modern technology including laptops, mobile phones and tablets, and increased working from home.",Department for Work and Pensions
660562,Set a cap for liquidator fees,"Currently the law sets out how fees can be calculated, but it doesn't set a cap on those fees. I've found it can take years and you might not retrieve enough money to pay the liquidator fees. I want a cap on the portion liquidators can take from investment retrieved in the liquidation process.",Department for Work and Pensions
333957,Make UK employers state on job ads that it's eligible for Tier 2 sponsorship,To make it a mandatory requirement that all UK employers who hold a Tier 2 sponsorship license clearly state on their graduate level job descriptions whether a specific role can be sponsored for international students & graduates who want to apply.,Department for Work and Pensions
660264,Stop National Insurance payments after reaching 35 years of contributions,I would like the Government to allow people who have reached 35 years of NI contributions to stop making payments.,Department for Work and Pensions
655264,Make all workplace bullying illegal,We want the Government to change the law to make all workplace bullying illegal.,Department for Work and Pensions
300281,Subject the Child Maintenance Service to review and ensure it's fit for purpose,"To review how the Child Maintenance Service operates, to:
 
1) ensure transparency, consistency and clarity when assisting callers;
2) ensure that ALL incomes from the paying parent are taken into consideration from the outset of claims, and
3) speed up the mechanisms to enforce payment.",Department for Work and Pensions
553346,Allow people to complete the Personal Independence Payment (PIP) form online,"The Government should allow people applying for Personal Independence Payment (PIP) to complete the form online after the initial call, and to be able to save it and come back to it.",Department for Work and Pensions
564537,Give babies of 2020 the chance of free nursery hours,"I would like babies of 2020 to get free nursery hours as I think it is massively important for a baby’s development. Babies born in 2020 haven’t been able to attend baby classes, playgroups etc. Babies need social interaction with other children especially round their age to help their development.",Department for Work and Pensions
313672,Protect Child Tax Credit renewal for Key Workers working extra hours covid19,In April 2021 those on benefits will need to renew them by submitting their income details. Do not financially penalise those that are NHS and Key Workers that are being required to work additional hours during Covid19 2020.,Department for Work and Pensions
321348,Reduce pressure on foodbanks by allowing Universal Credit emergency applications,"Add the following to Universal Credit application forms: ""Do you have under £1,000 in savings? Do you have children under 18 who are likely to go without food and/or are at risk of becoming homeless if this application is not processed urgently?"" If so, process the application within 5 working days.",Department for Work and Pensions
650187,Require annual property inspections for leaseholders and tenants,"Make it a legal requirement for freeholders or their managing agents, and landlords or their letting agent, to carry out annual inspection of properties, including water connections, heating and signs of disrepair, such as damp, for all occupied and unoccupied properties on their books.",Department for Work and Pensions
658522,"Provide funding to build 90,000 new social homes","A recent report from Shelter and the National Housing Federation argued that building 90,000 homes would inject £50 billion into the economy.",Department for Work and Pensions
644773,"Scrap Universal Credit, reinstate legacy benefits and scrap unfair sanctioning","I want the government to scrap Universal Credit and to reinstate legacy benefits such as Child Tax Credit, Working Tax Credit, Income Related Employment and Support Allowance, Income Based Jobseekers Allowance, Income Support and Housing Benefit.",Department for Work and Pensions
649135,Allow fractional shares to be held in an ISA,"After years of ISA providers allowing fractional shares to be held in ISAs, this practise is being disputed by HMRC, on the basis of regulations from the 1990s. We want the Government to make changes to relevant regulations to make it clear fractional shares can be held in an ISA.",Department for Work and Pensions
632192,Ensure the income threshold for Pension Credit is higher than the State Pension,"Currently the single person income threshold for Pension Credit is £182.60 a week, but the new State Pension is £185.15 per week.",Department for Work and Pensions
619085,Extend the £650 cost of living payments to contributions-based ESA claimants,There are people who are on contributions-based benefits who cannot get the £650 cost of living payment because they are not on any Income Related Benefit.,Department for Work and Pensions
582338,Ensure DWP letters are sent in Manilla (brown) rather than white envelopes.,DWP announced that they were about to start sending out letters to benefit claimants in white envelopes rather than the familiar brown (manilla envelopes) this will cause a great deal of anxiety and confusion to claimants who are used to looking for 'brown' envelopes for benefit enquiries.,Department for Work and Pensions
334231,Change method to work out child maintenance to be based on net not gross income,Change the method for calculating child maintenance payments by the paying parent to be based on net income not gross income and do not add on values such as company car benefit in kind  as this is not actual income!,Department for Work and Pensions
310979,Suspend sanctions to Universal Credit to help families and people in hardship,The Government should suspend sanctions to Unversal Credit to support family in need in times of hardship,Department for Work and Pensions
591535,Treat research students in receipt of a stipend as in work for UC.,"At the moment Post-Graduate Research students (PhD or equivalent) are treated as not working when they apply for Universal Credit (UC) .This means for every pound of their Research stipend their UC award is reduced by a pound. It also means that they cannot claim other costs, eg childcare.",Department for Work and Pensions
654038,Allow Universal Credit claimants to have childcare costs paid direct to provider,Remove the need for the parent claiming UC to pay the childcare provider up front. Enable registered childcare facilities to submit their invoices directly via a DWP portal for the 85% to paid directly to them and the remaining 15% to be paid by the parent.,Department for Work and Pensions
636030,Start providing tax breaks to middle earners due to the high cost of living,Middle earners are struggling because of the high cost of living and getting little to no assistance from the Government.,Department for Work and Pensions
300930,Require councils to provide Empty Property Premium details in property searches,"When a house is purchased during the legal searches, Councils should be required to let home buyers know if a house is subject to the Empty Property Premium. Depending on how long the house has been empty, new buyers could be stung with up to 500% in Council Tax.",Department for Work and Pensions
319389,Reform child maintenance support from self-employed non-resident parents,"This should include utilising all data available, including CIS RTI data, to verify and check declared self-assessment gross profit figures, and implementing measures to collect accrued debt for repeated and persistent non-payment cases at source, such as from SA tax refunds.",Department for Work and Pensions
634098,Conduct a full review of the Child Maintenance Service,"We want the Government to conduct an in-depth review of the Child Maintenance Service, to:",Department for Work and Pensions
587418,Reform how pension income is deducted from Universal Credit,"Pension is deducted £ for £ as unearned income. Deductions are also based on gross pension income, before any tax is taken. It's unfair and unjust. Pensions can be taxed and also deducted from Universal Credit income.",Department for Work and Pensions
553220,Change the way Universal Credit is worked out regarding Student Finance,I want Universal Credit to be looked into regarding Student Finance. Students have money deducted off their monthly Universal Credit due to the amount of Student Finance they receive. I believe this shouldn’t be the case as it is a Student LOAN which students will eventually have to pay back.,Department for Work and Pensions
301431,Stop using student finance loans as an income when claiming universal credit,Take off student finance and loans as an income when claiming universal credit.  This is a loan which students have to pay back once studies have finished and working so students are paying twice for their studies when it is taken as an income for claiming universal credit,Department for Work and Pensions
634729,Help with childcare costs for Universal Credit claimants for all unpaid carers,"Currently Universal Credit claimants must be in work in order to be able to claim  back up to 85% of childcare costs. This means that anyone who is a full-time unpaid carer, but is not also in paid work, is not entitled to help with childcare costs. This is true for single or joint claims.",Department for Work and Pensions
656425,Extend the Financial Services Compensation Scheme to all UK pension schemes,We would like the UK Government to extend the Financial Services Compensation Scheme (FSCS) to cover all UK-based pension schemes,Department for Work and Pensions
552806,Abolish the Bedroom Tax,"The Government put a tax on those claiming benefits, who have an extra room. However, it's unfair as there are shortages of ALL sized properties so are taxing those of us who are already on low income without foundation.",Department for Work and Pensions
643020,Pay full housing costs for benefit claimants in private rented accommodation,"Renting privately can be expensive and many people can't get social housing, but people in receipt of Universal Credit or Housing Benefit only receive the Local Housing Allowance (LHA) rate, which often doesn't cover all rental costs. These benefits should cover full rental costs.",Department for Work and Pensions
639584,Adapt universal credit to support people who are paid every 4 weeks.,"4 weekly pay dates, such as retail workers, have 1 month where 2 pay dates are calculated into 1 universal credit assessment (UC). This affects everyone who has to deal with this as many of us live pay to pay and can’t afford to not get UC for that month. More so if we pay for childcare.",Department for Work and Pensions
587893,Extend the Carer's Allowance Supplement to England and Wales,The Scottish Government has introduced a Carer's Allowance Supplement of £231.40 twice a year for people receiving Carer's Allowance in Scotland. The UK Government should extend this supplement to people who claim Carer's Allowance in England and Wales.,Department for Work and Pensions
603904,Reinstate the Widowed Parent's Allowance for parents whose partner dies,"The Government should reinstate the Widowed Parent's Allowance for parents whose partner dies, so that the surviving parent receives financial support until they cease to be eligible for Child Benefit, where the deceased had sufficient National Insurance contributions.",Department for Work and Pensions
630897,Increase the State Pension for people with disabilities by £25 a week,The pension wealth gap is massive and many people are struggling so an extra £25 a week can help provide stability for retired disabled workers who need it most. It is important we help those who need it. Let's make a difference together.,Department for Work and Pensions
640179,Reform Universal Credit rules for people claiming Carer's Allowance.,"We want the Government to:

Stop taking Carer's Allowance pound for pound off people's Universal Credit claims and take 55p for every pound instead.",Department for Work and Pensions
585811,Raise the national minimum wage for 18-20 year olds,"The fact that 18-20 year olds are only entitled to £6.56 per hour for doing the same work as their older colleagues is ridiculous, especially after the effects of a pandemic. Me and many other young people are currently trying to save for university this year.",Department for Work and Pensions
652968,Stop classing student maintenance loan as income when working out UC entitlement,The Government needs to stop classing student maintenance loan as income when determining entitlement to Universal Credit.,Department for Work and Pensions
551954,Provide financial support to all workers who self-isolate due to Covid-19,"I would like the Government to pay £500 to every worker that does not receive full pay whilst having to self-isolate, regardless of income. This should cover employees and the self-employed",Department for Work and Pensions
642012,Give British people priority need for accommodation,The Government should include British Citizens in the list for priority need for accommodation within the Housing Act 1996. ,Department for Work and Pensions
623532,Restore guaranteed minimum pension (GMP) indexation of the state pension,I want the Government to change the law to reinstate uprating of state pensions in respect of contracted out occupational pensions known as Guaranteed Minimum Pensions (GMP).,Department for Work and Pensions
661462,Update Universal Credit payments for all claimants from date new rates apply,"Universal Credit is paid based on monthly assessment periods. Where an assessment period starts before new rates are introduced, claimants don't benefit from new rates until their next assessment period. We want this to change, so that new rates apply to all claimants as soon as they are introduced.",Department for Work and Pensions
605384,Do not deduct Carer's Allowance or pension payment from Universal Credit,The Government should change how Universal Credit is calculated so pension payments and Carer's Allowance is not deducted from a person's Universal Credit payment.,Department for Work and Pensions
550257,Automatically award PIP to those with a lifelong disability that had a DLA award,I would like the Government/Parliament to have those with a confirmed life long disability to be able to receive PIP automatically when they are being changed from DLA to PIP,Department for Work and Pensions
581605,Change maternity leave rules for baby losses before 24 weeks,"I would like the Government to increase the entitlement a mother has after losing a child before the 3rd trimester. If a mother loses a child before 24 weeks they are only entitled to 'sick' pay. 

I'd like to suggest half maternity leave for loss from 20 weeks",Department for Work and Pensions
317630,Give parents of SEN children who cannot attend school the right to be furloughed,"Many children with Special Educational Needs are unable to access education currently due to lack of provision/staffing/routine and consistency. Instead of forcing unrealistic expectations on schools, please permit parents of SEN children to be furloughed under mitigating circumstances.",Department for Work and Pensions
591633,"Increase ALL Unemployed Benefits, by the extra £20 weekly Covid-19 uplift relief","Government to Urgently pay the £20 COVID-19 Uplift to ALL Unemployed People on state unemployment benefits 

Include those 'Left Out' or NEVER received it - like 'JSA Claimants'. NOT just those on Universal Credit'

Pay A) Immediately B) with backpay & C) compensation to the unemployed left out",Department for Work and Pensions
319691,Decrease the state pension age for both men and women to 62 now.,"Post Covid-19 pandemic there will be an increase in the unemployed. Now would be a good time to alter the state pension age to 62 for both men and women, thus creating more job opportunities.",Department for Work and Pensions
306965,Remove requirement to make joint claims for Universal Credit during Covid-19,"Until people whose work has been affected by Covid-19 can go back to work and able to earn sufficient income they should be able to claim Universal Credit as a single claimant, even if they have a partner who has an income.",Department for Work and Pensions
562929,Make Universal Credit accessible for Students that lost their jobs due to COVID,"Most Students are not allowed to access the Benefits system. 1 in 7 students relies on work to pay for the cost of living while studying, but many employers are making people redundant because of covid. Students working part-time jobs are likely to be the first ones to be fired.",Department for Work and Pensions
655868,Base child maintenance calculation on net pay,"I want child maintenance to be calculated on net pay, instead of gross salary. ",Department for Work and Pensions
642401,Create a Government-run bank for people who can't open an account elsewhere,"I would like the Government to open and run a bank for those who are unable to open any bank account with any other bank, including a 'basic' account. This will only be for everyday banking facilities.",Department for Work and Pensions
315538,Stop automatic migration of Child Tax Credit claimants to Universal Credit,"The Government should stop moving claimants of Child Tax Credits automatically to Universal Credit when parents have a change of circumstances, unless the claimant give consent.",Department for Work and Pensions
619481,End assessments and consider disability benefit claims on medical advice alone,"The Government should remove the requirement for people claiming disability benefits, such as the Personal Independence Payment (PIP), to have to go through an assessment process. Claims should be based solely on evidence from medical professionals, such as a letter from a GP or consultant.",Department for Work and Pensions
655696,Abolish the Bedroom Tax,We think the Government should do away with the Bedroom Tax.,Department for Work and Pensions
333725,Review social security benefits paid to polygamous families,"We believe that welfare payments to polygamous families put a disproportionate strain on the taxpayer, and should be reviewed. ",Department for Work and Pensions
301286,Reform PIP assessments,"Have private companies, such as IAS, stop doing assessments for PIP and have a government division with disability advocates and specialists and real health professionals do assessments. Allow a Universal Credit disability decision to be part of the decision making process.",Department for Work and Pensions
305875,Pay Universal Credit from Day One,The Government MUST scrap the 5 week waiting period for Universal Credit to enable people to pay living costs during the coronavirus crisis. People eligible for benefits should be paid from the day they apply.,Department for Work and Pensions
652455,Incentivise landlords not to sell properties & to charge affordable rents ,"Landlords are exiting the market at an alarming rate, creating a crisis for existing and prospective tenants. Rents are soaring. We believe the Government should provide financial incentives to encourage landlords to remain in the market, and to ensure rents are affordable.","Department for Levelling Up, Housing and Communities "
553012,Give local authorities powers to designate zones where face masks must be worn,"Allow local authorities to designate face mask-wearing only zones in limited outdoor locations where 2m distancing is logistically difficult to maintain and the risk of spread of Covid 19 is high. For uniformity of messaging, all zoned areas should be marked by standardized colour-coded notices.","Department for Levelling Up, Housing and Communities "
608589,Extend the Leasehold Reform Act to ground rent on existing residential leases,"Prior to the Leasehold Reform Act, the freeholders could set ground rent at whatever amount they chose. New protections do not extend to existing property owners. Many current leaseholders have found they are unable to sell as mortgage firms and banks may not approve lending on such properties.","Department for Levelling Up, Housing and Communities "
613945,Fund local authorities to refurbish skate parks,"The Government should provide local authorities with funding to refurbish skate parks in their area. This could create a positive environment for the community, including teenagers, that is inclusive for everyone and opens more people to hobbies/skills.","Department for Levelling Up, Housing and Communities "
659117,Extend cladding remediation funding to buildings under 11 metres,"To ensure equality among homeowners, extend the assistance provided by the Government for remedial cladding works to all homeowners regardless of building height, expanding upon the precedent already set by the Government.","Department for Levelling Up, Housing and Communities "
306091,Ban landlords and estate agents discriminating against universal credit tenants,I would like a law to be passed stating that estate agents and landlords must not discriminate against tenants who claim universal credit or housing benefit and must treat those tenants the same as any other individual.,"Department for Levelling Up, Housing and Communities "
309851,Exempt golf courses from the list of venues required to close due to Covid-19,"Isolation essential to the Government’s strategy for fighting coronavirus, and UK citizens must remain healthy and exercise whilst keeping adequate distance between people. The Government should allow golf courses to open so families or individuals can play golf in order to exercise safely. ","Department for Levelling Up, Housing and Communities "
329363,Allow wedding ceremonies and receptions to take place with social distancing,Allow wedding receptions to take place in line with changes to the Covid rules on wedding ceremonies; recognising that social distancing and suitable sanitisation will be necessary.,"Department for Levelling Up, Housing and Communities "
307650,Ensure care workers get full pay from day one of Coronavirus-related absence.,"We would like the Government to ensure care workers receive full pay from day one of Coronavirus-related absence. Absences to include sickness, self-isolation or due to being in a high risk category. Pay should be calculated using an average of the previous twelve working weeks.","Department for Levelling Up, Housing and Communities "
556774,Extend Council Tax exemptions on properties of the deceased that are for sale,"Current rules on council tax for properties of the deceased are insufficient. The Government should make it so no council tax is chargeable on any property that has been put on the market following the death of its owner, provided it is empty.","Department for Levelling Up, Housing and Communities "
651019,Reform planning regulations regarding telecommunications installations,"a. Remove telecommunication installations from permitted development legislation.

b. Require consultation before telecommunications installations.

","Department for Levelling Up, Housing and Communities "
611379,Help the homeless by funding a shelter and at least one healthy meal per day,"The Government should fund at least one healthy meal and drink a day, and provide a warm shelter, for each homeless person. ","Department for Levelling Up, Housing and Communities "
560220,Seek to extend Mortgage Payment Holidays up to 9 months due to second lockdown,"The Government should seek to give people the option of extending an existing mortgage holiday from six to nine months due to the second lockdown which has stopped a lot of people from working again, with people laid off or losing their jobs.","Department for Levelling Up, Housing and Communities "
569197,Require councils to suspend council tax increases for year 2021/2022,"Require councils to suspend council tax rises, to ease the pressure on family budgets caused by the coronavirus outbreak.","Department for Levelling Up, Housing and Communities "
550489,Extend the Building Safety Fund to include non-ACM buildings under 18m,"Extend the parameters of the building safety fund for non-ACM cladding. To treat everyone fairly by including under 18m buildings, to broaden the scope and funding to include wood balconies, wooden walkways, compartmentalisation issues and fund historical fire safety work.","Department for Levelling Up, Housing and Communities "
326414,Set time limits for funerals in England,Currently there is no legislation or time limits for funerals which can make it very difficult for a loved one to be laid to rest with the dignity and respect they deserve.,"Department for Levelling Up, Housing and Communities "
601261,Require audio visual recordings of all meetings involving social services,"The Government should require all meetings involving social services, with families or other parties, be recorded for audio and visual, so that they can be used in any family court matters arising.","Department for Levelling Up, Housing and Communities "
302681,Abolish Council tax,"It's about time the Government finally scrapped the rebranded poll tax aka council tax, and funded local government centrally.","Department for Levelling Up, Housing and Communities "
637458,"Review availability of affordable housing and take action to improve this
 ","Affordable housing is not obtainable to too many people, including people who need to be rehomed in an emergency. This is very well known but not enough is being done to rectify this. We want the Government to conduct a full review of access to affordable housing, and take action to improve this.
 ","Department for Levelling Up, Housing and Communities "
611758,Extend Help to Buy scheme to people who have previously owned a home abroad,I want the Government to help people who have previously owned a home abroad to be afford a home in the UK. Many immigrants spend their savings to relocate. Where someone has purchased but then sold a property abroad we would like to be considered as first time buyers for the Help to Buy scheme.,"Department for Levelling Up, Housing and Communities "
326690,Make it law that costs incurred due to protest is to be borne by the organiser/s,In small towns many people do not support or want protests. They are an unnecessary drain on local resources and an inconvenience to the local population. If the organiser/s have to bear the cost they will surely garner the support they need prior to holding the event.,"Department for Levelling Up, Housing and Communities "
588052,Extend eligibility for first time buyer schemes to previous owners,The Government should change the law so that people who have not owned a property for 5 years are considered as first time buyers for the purpose of accessing first time buyer schemes such as Help to Buy and First Homes.,"Department for Levelling Up, Housing and Communities "
594644,Make allotment space a legal requirement for new major housing developments.,To look into this matter and ratify it in law to ensure that all developers comply with this as part of their application plans.,"Department for Levelling Up, Housing and Communities "
562394,Require councils to add shades to LED street lamps automatically,"Make councils add shades to LED street lamps automatically rather than make residents request councils to add them after the fact.

At the moment councils are driven to replace sodium lighting with LEDs but these are really bright and affect sleep and dark skies for amateur astronomers.","Department for Levelling Up, Housing and Communities "
617645,Enact the Grenfell Inquiry recommendation on Personal Emergency Evacuation Plans,Implement the Grenfell Tower Inquiry (Phase 1) recommendation to put a legal obligation on building owners and managers to implement Personal Emergency Evacuation Plans (PEEPs) for Disabled residents who cannot self-evacuate due to reasons such as mobility or cognition.,"Department for Levelling Up, Housing and Communities "
550059,Please do not extend evictions ban,The costs and losses with eviction are already high and long. This does not includes costs towards damaged property. This uncertain evictions ban is putting landlords to risk of incurring losses which could put landlords themselves homeless.,"Department for Levelling Up, Housing and Communities "
594063,Require all new buildings to have rainwater storage for flushing toilets,"This simple and relatively cheap measure would use a wasted resource and reduce water charges. It would reduce the amount of rainwater going directly into foul drainage, a major cause of untreated discharge of sewage into rivers and the sea. My system used recycled containers and cost about £150.","Department for Levelling Up, Housing and Communities "
657860,Provide more funding for basketball courts ,"Provide funding for money to improve the basketball courts owned by local councils across England, for example by providing new rims and backboards. My local basketball court is run down. ","Department for Levelling Up, Housing and Communities "
634842,Give residential freeholders a Right to Manage communal areas,"Currently freeholders have no statutory rights to challenge fees relating to communal areas around their property (eg. public roads and amenity spaces). We want the Government to give residential freeholders a Right to Manage communal areas, equivalent to those available to leaseholders.","Department for Levelling Up, Housing and Communities "
332674,Protect leaseholders from paying for cladding remedial works,"The Draft Building Safety Bill currently proposes a Building Safety Charge payable by leaseholders for cladding remedial works. This should be removed and public funds made available to protect citizens through appropriate safety standards, and Freeholders should also be made to contribute.","Department for Levelling Up, Housing and Communities "
585777,Provide additional funding for local authorities for youth clubs,"A lot of youth clubs have closed down in recent years, and youth crime has been through the roof. More gangs, more antisocial behaviour.","Department for Levelling Up, Housing and Communities "
